Dataset,Model,Performance Retention (%),Model Size (MB),Accuracy,Teacher Accuracy,Accuracy Drop (%)
ChestMNIST,EfficientNet-B0,89.99,20.4,0.6706,0.7452,10.01
ChestMNIST,MobileNetV2,89.8,13.6,0.6692,0.7452,10.2
ChestMNIST,ResNet18,92.94,44.6,0.6926,0.7452,7.06
DermaMNIST,EfficientNet-B0,94.81,20.4,0.6929,0.7308,5.19
DermaMNIST,MobileNetV2,96.05,13.6,0.7019,0.7308,3.95
DermaMNIST,ResNet18,94.81,44.6,0.6949,0.7308,4.91
OCTMNIST,EfficientNet-B0,95.83,20.4,0.8857,0.9242,4.17
OCTMNIST,MobileNetV2,98.42,13.6,0.9096,0.9242,1.58
OCTMNIST,ResNet18,99.71,44.6,0.9215,0.9242,0.29
OrganAMNIST,EfficientNet-B0,98.42,20.4,0.9687,0.9843,1.58
OrganAMNIST,MobileNetV2,98.26,13.6,0.9672,0.9843,1.74
OrganAMNIST,ResNet18,99.1,44.6,0.9754,0.9843,0.9
PathMNIST,EfficientNet-B0,98.54,20.4,0.888,0.9012,1.46
PathMNIST,MobileNetV2,97.25,13.6,0.8764,0.9012,2.75
PathMNIST,ResNet18,97.63,44.6,0.8798,0.9012,2.37
